geno,Env,trait,pheno
WW-001,INRA,Heading,164.56
WW-002,INRA,Heading,159.63
WW-003,INRA,Heading,155.55
WW-004,INRA,Heading,155.28
WW-005,INRA,Heading,161.66
WW-006,INRA,Heading,158.59
WW-007,INRA,Heading,156.17
WW-008,INRA,Heading,156.91
WW-009,INRA,Heading,169.96
WW-010,INRA,Heading,154.95
WW-011,INRA,Heading,164.27
WW-012,INRA,Heading,162.82
WW-013,INRA,Heading,162.97
WW-014,INRA,Heading,163
WW-015,INRA,Heading,165.04
WW-016,INRA,Heading,158.56
WW-017,INRA,Heading,160.09
WW-018,INRA,Heading,157.97
WW-019,INRA,Heading,153.05
WW-020,INRA,Heading,149.02
WW-021,INRA,Heading,152.04
WW-022,INRA,Heading,154.89
WW-023,INRA,Heading,147.52
WW-024,INRA,Heading,155.08
WW-025,INRA,Heading,157.92
WW-026,INRA,Heading,156.53
WW-027,INRA,Heading,158.71
WW-028,INRA,Heading,159.6
WW-029,INRA,Heading,146.81
WW-030,INRA,Heading,168.71
WW-031,INRA,Heading,168.93
WW-032,INRA,Heading,165.44
WW-033,INRA,Heading,155.87
WW-034,INRA,Heading,159.61
WW-035,INRA,Heading,160.92
WW-036,INRA,Heading,164.11
WW-037,INRA,Heading,156.28
WW-038,INRA,Heading,160.44
WW-039,INRA,Heading,168.17
WW-040,INRA,Heading,160.08
WW-041,INRA,Heading,155.23
WW-042,INRA,Heading,162.3
WW-043,INRA,Heading,168.77
WW-044,INRA,Heading,162.45
WW-045,INRA,Heading,159.25
WW-046,INRA,Heading,160.32
WW-047,INRA,Heading,156.09
WW-048,INRA,Heading,167.64
WW-049,INRA,Heading,167.2
WW-050,INRA,Heading,163.52
WW-052,INRA,Heading,160.41
WW-053,INRA,Heading,169.36
WW-055,INRA,Heading,162.41
WW-056,INRA,Heading,163.43
WW-057,INRA,Heading,156.38
WW-058,INRA,Heading,154.23
WW-059,INRA,Heading,166.32
WW-060,INRA,Heading,162.26
WW-061,INRA,Heading,160.73
WW-062,INRA,Heading,159.12
WW-063,INRA,Heading,168.35
WW-064,INRA,Heading,162.92
WW-065,INRA,Heading,164.24
WW-066,INRA,Heading,152.14
WW-067,INRA,Heading,152.02
WW-068,INRA,Heading,156.68
WW-069,INRA,Heading,148.77
WW-070,INRA,Heading,155.31
WW-071,INRA,Heading,150.28
WW-072,INRA,Heading,147.32
WW-073,INRA,Heading,152.98
WW-074,INRA,Heading,143.34
WW-075,INRA,Heading,148.54
WW-076,INRA,Heading,141.87
WW-077,INRA,Heading,149.44
WW-078,INRA,Heading,154.63
WW-079,INRA,Heading,144.05
WW-080,INRA,Heading,158.35
WW-081,INRA,Heading,171.99
WW-082,INRA,Heading,147.21
WW-083,INRA,Heading,144.53
WW-084,INRA,Heading,156.29
WW-085,INRA,Heading,157.62
WW-086,INRA,Heading,160.5
WW-087,INRA,Heading,157.73
WW-088,INRA,Heading,159.75
WW-089,INRA,Heading,159.2
WW-090,INRA,Heading,157.63
WW-091,INRA,Heading,157.99
WW-092,INRA,Heading,160.46
WW-093,INRA,Heading,160.44
WW-094,INRA,Heading,172.6
WW-095,INRA,Heading,160.57
WW-096,INRA,Heading,164.49
WW-097,INRA,Heading,157.92
WW-098,INRA,Heading,168.58
WW-099,INRA,Heading,171.95
WW-100,INRA,Heading,170.71
WW-101,INRA,Heading,172.69
WW-102,INRA,Heading,172.77
WW-103,INRA,Heading,173.65
WW-104,INRA,Heading,162.38
WW-105,INRA,Heading,166.93
WW-106,INRA,Heading,177.8
WW-107,INRA,Heading,173.25
WW-108,INRA,Heading,172.44
WW-109,INRA,Heading,161.12
WW-110,INRA,Heading,175.3
WW-111,INRA,Heading,169.93
WW-112,INRA,Heading,172.86
WW-113,INRA,Heading,173.64
WW-114,INRA,Heading,166.35
WW-115,INRA,Heading,175.59
WW-116,INRA,Heading,177.96
WW-117,INRA,Heading,171.72
WW-118,INRA,Heading,172.58
WW-119,INRA,Heading,176.61
WW-120,INRA,Heading,179.24
WW-121,INRA,Heading,170.4
WW-122,INRA,Heading,173.08
WW-123,INRA,Heading,171.84
WW-124,INRA,Heading,178.76
WW-125,INRA,Heading,154.2
WW-127,INRA,Heading,158.38
WW-131,INRA,Heading,147.26
WW-132,INRA,Heading,151.76
WW-133,INRA,Heading,169.23
WW-134,INRA,Heading,152.29
WW-135,INRA,Heading,151.34
WW-136,INRA,Heading,150.45
WW-137,INRA,Heading,150.07
WW-138,INRA,Heading,151.39
WW-140,INRA,Heading,151.77
WW-143,INRA,Heading,162.42
WW-145,INRA,Heading,164.5
WW-146,INRA,Heading,149.11
WW-147,INRA,Heading,147.29
WW-148,INRA,Heading,167.14
WW-149,INRA,Heading,161.74
WW-150,INRA,Heading,167.62
WW-151,INRA,Heading,160.84
WW-152,INRA,Heading,153.75
WW-153,INRA,Heading,169.69
WW-154,INRA,Heading,156.1
WW-155,INRA,Heading,161.59
WW-156,INRA,Heading,163.29
WW-157,INRA,Heading,160.14
WW-158,INRA,Heading,163.43
WW-159,INRA,Heading,155.27
WW-160,INRA,Heading,161.97
WW-161,INRA,Heading,161.26
WW-162,INRA,Heading,163.97
WW-163,INRA,Heading,167.38
WW-164,INRA,Heading,165.31
WW-165,INRA,Heading,163.79
WW-166,INRA,Heading,161.27
WW-167,INRA,Heading,164.22
WW-168,INRA,Heading,160.02
WW-169,INRA,Heading,166.15
WW-170,INRA,Heading,148.5
WW-171,INRA,Heading,154.64
WW-172,INRA,Heading,144.79
WW-173,INRA,Heading,144.49
WW-174,INRA,Heading,147.78
WW-175,INRA,Heading,145.77
WW-176,INRA,Heading,154.01
WW-177,INRA,Heading,154.07
WW-183,INRA,Heading,154.69
WW-184,INRA,Heading,153.31
WW-185,INRA,Heading,147.56
WW-186,INRA,Heading,148.76
WW-187,INRA,Heading,155.53
WW-188,INRA,Heading,159.46
WW-189,INRA,Heading,159.14
WW-190,INRA,Heading,153.83
WW-191,INRA,Heading,152.62
WW-192,INRA,Heading,148.84
WW-194,INRA,Heading,148.99
WW-195,INRA,Heading,158.94
WW-196,INRA,Heading,161.73
WW-197,INRA,Heading,153.71
WW-207,INRA,Heading,158.03
WW-208,INRA,Heading,159.05
WW-209,INRA,Heading,157.83
WW-210,INRA,Heading,152.8
WW-211,INRA,Heading,157.21
WW-212,INRA,Heading,154.18
WW-213,INRA,Heading,144.17
WW-214,INRA,Heading,166.6
WW-215,INRA,Heading,153.33
WW-216,INRA,Heading,160.67
WW-217,INRA,Heading,157.24
WW-218,INRA,Heading,152.48
WW-219,INRA,Heading,158.83
WW-220,INRA,Heading,159.38
WW-221,INRA,Heading,159.63
WW-222,INRA,Heading,154.39
WW-223,INRA,Heading,159.27
WW-224,INRA,Heading,161.82
WW-225,INRA,Heading,154.71
WW-226,INRA,Heading,156.59
WW-227,INRA,Heading,150.72
WW-228,INRA,Heading,152.35
WW-240,INRA,Heading,163.48
WW-241,INRA,Heading,148.82
WW-271,INRA,Heading,163.67
WW-276,INRA,Heading,156.47
WW-277,INRA,Heading,156.2
WW-278,INRA,Heading,162.25
WW-279,INRA,Heading,154.95
WW-280,INRA,Heading,161.28
WW-281,INRA,Heading,156.44
WW-282,INRA,Heading,158.85
WW-283,INRA,Heading,150.87
WW-284,INRA,Heading,145.18
WW-285,INRA,Heading,157.14
WW-286,INRA,Heading,158.19
WW-287,INRA,Heading,162.58
WW-288,INRA,Heading,148.05
WW-289,INRA,Heading,153.67
WW-290,INRA,Heading,164.33
WW-291,INRA,Heading,166.73
WW-292,INRA,Heading,149.08
WW-293,INRA,Heading,166.63
WW-294,INRA,Heading,148.64
WW-295,INRA,Heading,152.6
WW-296,INRA,Heading,164.09
WW-297,INRA,Heading,159.35
WW-298,INRA,Heading,165.59
WW-299,INRA,Heading,147.62
WW-300,INRA,Heading,153.2
WW-301,INRA,Heading,152.28
WW-302,INRA,Heading,169.15
WW-303,INRA,Heading,159.09
WW-304,INRA,Heading,155.68
WW-305,INRA,Heading,161.64
WW-306,INRA,Heading,169.56
WW-307,INRA,Heading,159.92
WW-308,INRA,Heading,159.58
WW-309,INRA,Heading,143.09
WW-310,INRA,Heading,166.89
WW-311,INRA,Heading,
WW-312,INRA,Heading,149.13
WW-313,INRA,Heading,161.07
WW-314,INRA,Heading,147.18
WW-315,INRA,Heading,154.82
WW-316,INRA,Heading,159.94
WW-317,INRA,Heading,166.2
WW-318,INRA,Heading,147.23
WW-319,INRA,Heading,152.05
WW-321,INRA,Heading,160.52
WW-322,INRA,Heading,167.25
WW-323,INRA,Heading,164.68
WW-324,INRA,Heading,157.25
WW-325,INRA,Heading,156.95
WW-326,INRA,Heading,161.84
WW-327,INRA,Heading,155.76
WW-328,INRA,Heading,163.55
WW-329,INRA,Heading,172.56
WW-330,INRA,Heading,158.34
WW-331,INRA,Heading,159.98
WW-332,INRA,Heading,166.21
WW-333,INRA,Heading,161.2
WW-334,INRA,Heading,171.34
WW-335,INRA,Heading,158.61
WW-336,INRA,Heading,148.36
WW-337,INRA,Heading,144.87
WW-338,INRA,Heading,166.41
WW-339,INRA,Heading,155.56
WW-340,INRA,Heading,157.28
