"x"	"y"	"support"	"genome"	"mst"	"taxon.x"	"taxon.y"
"WW-048"	"WW-050"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-165"	"WW-163"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-043"	"WW-169"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-167"	"WW-038"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-003"	"WW-154"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-321"	"WW-070"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-324"	"WW-084"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-087"	"WW-088"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-286"	"WW-405"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-303"	"WW-283"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-133"	"WW-438"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-425"	"WW-302"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-107"	"WW-121"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-507"	"WW-388"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-507"	"WW-143"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-080"	"WW-298"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-027"	"WW-025"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-301"	"WW-430"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-361"	"WW-366"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-339"	"WW-309"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-284"	"WW-399"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-288"	"WW-282"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-410"	"WW-294"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-312"	"WW-376"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-432"	"WW-176"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-176"	"WW-177"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-221"	"WW-219"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-338"	"WW-308"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-511"	"WW-474"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-213"	"WW-472"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-241"	"WW-476"	1	"A"	"True"	"Triticum_sphaerococcum"	"Triticum_aestivum"
"WW-083"	"WW-079"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-300"	"WW-076"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-073"	"WW-075"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-208"	"WW-207"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-463"	"WW-469"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-217"	"WW-473"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-473"	"WW-228"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-473"	"WW-223"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-341"	"WW-445"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-499"	"WW-500"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-493"	"WW-494"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-337"	"WW-307"	1	"A"	"True"	"Triticum_aestivum"	"Triticum_aestivum"
"WW-265"	"WW-267"	1	"A"	"True"	"Triticum_dicoccon"	"Triticum_dicoccon"
"WW-264"	"WW-268"	1	"A"	"True"	"Triticum_dicoccon"	"Triticum_dicoccon"
"WW-264"	"WW-244"	1	"A"	"True"	"Triticum_dicoccon"	"Triticum_dicoccon"
"WW-244"	"WW-266"	1	"A"	"True"	"Triticum_dicoccon"	"Triticum_dicoccon"
"WW-259"	"WW-257"	1	"A"	"True"	"Triticum_dicoccoides"	"Triticum_dicoccoides"
"WW-263"	"WW-242"	1	"A"	"True"	"Triticum_boeoticum"	"Triticum_zhukovskyi"
