"SUID","__glayCluster","Acession number","Altitude","any other important information","any other important information.1","any other important information.2","AverageShortestPathLength","Awn Colour","Awn Type","BetweennessCentrality","Biological status","Breeder","ClosenessCentrality","ClusteringCoefficient","Collection site","continent","Country of origin","Degree","Eccentricity","Genome","Glume Colour","Glume surface","Grain Colour","group","Growth habit","Harvest year","IsSingleNode","Kilian/IPK sowing no. 2010","Kilian/IPK sowing no. 2011","Kilian/IPK sowing no. 2012","Latitude","Location of multiplication","Longitude","name","NeighborhoodConnectivity","No.","NumberOfDirectedEdges","NumberOfUndirectedEdges","Other number","Parental line","PartnerOfMultiEdgedNodePairs","Pedigree","Plant","Population","Radiality","Replication","Seed source","selected","SelfLoops","shared name","SMTA related info","Source genebank","Stress","subgenomeA","subgenomeB","subgenomeD","taxon","TaxonCluster","Taxonomy","Taxonomy1","Taxonomy2","TopologicalCoefficient","Variety/Genotype","Wax","wordcloud.sync","Year listed / recommended / Acquisition year / released / collected"
"586","1","IG 46803",,"","","SSD","3.0617284","","","0.00411523","wild","","0.3266129","0.0","35 km W Tuzluca","Asia","Turkey","2","8","D","","","","diploid","na","2012.0","false","974/2","940.0","940.0","","""IPK """"little field""""""","","Aegilops_tauschii.WW-246","20.5","","2","0","","","0","","2","wheat wild relatives and neglected","0.77091907","","Kilian","false","0","WW-246","","ICARDA","16922","false","false","true","Aegilops_tauschii",,"Aegilops","tauschii Coss.","subsp. Tauschii","0.5","","","false","1979"
"585","1","IG 48508",,"","","SSD","4.05967078","","","0.0","wild","","0.24632539","0.0","Yarti-Kala; 12 km S Kara-Kala","Africa","Turkmenistan","1","9","D","","","","diploid","na","2011.0","false","","950.0","950.0","","""IPK """"little field""""""","","Aegilops_tauschii.WW-247","2.0","","1","0","","","0","","1","wheat wild relatives and neglected","0.66003658","","Kilian","false","0","WW-247","","","0","false","false","true","Aegilops_tauschii",,"Aegilops","tauschii Coss.","subsp. tauschii","0.0","","","false","na"
"584","2","AE 525",,"","","SSD","2.06790123","","","0.00829598","wild","","0.48358209","0.77435897","30 km von Babul nach Gorgan","Asia","Iran","40","7","D","","","","diploid","na","2011.0","false","938","905.0","905.0","","""IPK """"little field""""""","","Aegilops_tauschii.WW-248","210.975","","40","0","","","0","","2","wheat wild relatives and neglected","0.88134431","","Kilian","false","0","WW-248","","IPK","34362","false","false","true","Aegilops_tauschii",,"Aegilops","tauschii Coss.","subsp. strangulata (Eig) Tzvel.","0.47192394","","","false","na"
"583","2","Spel-332/1",,"","","SSD","2.96502058","","","0.0","wild","","0.33726579","1.0","Turkey, Diyarbakir; 37°58`N, 40°20`E","Asia","Turkey","4","6","Ss","","","","diploid","na","2011.0","false","","3748.0","3748.0","37.97","""IPK """"little field""""""","40.33","Aegilops_speltoides.WW-272","19.25","","4","0","","","0","","2","wheat wild relatives and neglected","0.78166438","","Kilian","false","0","WW-272","","","0","false","true","false","Aegilops_speltoides",,"Aegilops","speltoides Tausch","subsp. speltoides","0.55","","","false","na"
"582","2","SPE 351-2-1",,"","","SSD","2.13374486","","","1.7783E-4","wild","","0.46865959","0.85714286","Turkey, Adiyaman; 38°1`N, 38°31`E","Asia","Turkey","7","6","Ss","","","","diploid","na","2012.0","false","","3786.0","3786.0","38.02","""IPK """"little field""""""","38.52","Aegilops_speltoides.WW-274","74.42857143","","7","0","","","0","","1","wheat wild relatives and neglected","0.87402835","","Kilian","false","0","WW-274","","","874","false","true","false","Aegilops_speltoides",,"Aegilops","speltoides Tausch","subsp. speltoides","0.17389853","","","false","na"
"581","3","",,"","","","2.05144033","","","1.1431E-4","current variety","Momont","0.48746239","0.79636591","","Europe","France","71","7","BAD","","","","IV","Winter",,"false","",,,"","","","Triticum_aestivum.WW-001","158.70175439","","71","0","","","9","",,"","0.8831733","","KWS","false","0","WW-001","","","970","true","true","true","Triticum_aestivum","T. aestivum γ","Triticum","aestivum","","0.35986792","LEEDS","","false","na"
"580","3","",,"","","","2.24485597","","","0.0","na","KWS","0.44546288","1.0","","Europe","United Kingdom","22","7","BAD","","","","IV","Winter",,"false","",,,"","","","Triticum_aestivum.WW-053","158.2","","22","0","","","6","",,"NIAB MAGIC","0.86168267","","KWS?","false","0","WW-053","","","0","true","true","true","Triticum_aestivum","T. aestivum γ","Triticum","aestivum","","0.39848866","ROBIGUS","","false","2003"
"579","3","",,"","","","2.05555556","","","1.1673E-4","current variety","KWS UK","0.48648649","0.79090909","","Europe","United Kingdom","65","7","BAD","","","","IV","Winter",,"false","",,,"","","","Triticum_aestivum.WW-031","170.67857143","","65","0","","","6","",,"","0.88271605","","KWS?","false","0","WW-031","","","1078","true","true","true","Triticum_aestivum","T. aestivum γ","Triticum","aestivum","","0.38790584","KWS Croft","","false","2013"
"578","3","",,"","","","1.95679012","","","5.6125E-4","na","Nickersons","0.51104101","0.64822365","","Europe","United Kingdom","108","7","BAD","","","","IV","Facultative",,"false","",,,"","","","Triticum_aestivum.WW-055","164.44117647","","108","0","","","4","",,"NIAB MAGIC","0.89368999","","KWS?","false","0","WW-055","","","4842","true","true","true","Triticum_aestivum","T. aestivum γ","Triticum","aestivum","","0.37203886","XI-19","","false","2002"
"577","4","",,"","","","3.91563786","","","0.0","landrace","-","0.25538623","1.0","","Asia","Turkey","6","8","BA","","","","tetraploid","Alternative/Spring",,"false","",,,"","","","Triticum_durum.WW-202","7.0","","6","0","","","2","",,"","0.67604024","","Hakan Özkan","false","0","WW-202","","","0","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.875","Boğacak","","false","na"
"576","4","",,"","","","2.90946502","","","1.96E-6","old variety","Cukurova Uni.","0.3437058","0.95238095","","Asia","Turkey","12","7","BA","","","","tetraploid","Alternative/Spring",,"false","",,,"","","","Triticum_durum.WW-204","25.85714286","","12","0","","","5","",,"","0.78783722","","Hakan Özkan","false","0","WW-204","","","12","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.35420744","Balcalı-85","","false","1985"
"575","4","",,"","","","2.90946502","","","1.96E-6","current variety","Cukurova Uni.","0.3437058","0.95238095","","Asia","Turkey","12","7","BA","","","","tetraploid","Alternative/Spring",,"false","",,,"","","","Triticum_durum.WW-205","25.85714286","","12","0","","","5","",,"","0.78783722","","Hakan Özkan","false","0","WW-205","","","12","true","true","false","Triticum_durum",,"Triticum","durum Desf.","","0.35420744","Balcalı-2000","","false","2000"
"574","2","4702",,"","","","2.12757202","","","4.38E-6","old cultivar","","0.47001934","0.93939394","","Europe","Spain","28","7","BAD","","","","II","Spring",,"false","",,,"","","","Triticum_aestivum.WW-390","224.40909091","","28","0","","","3","",,"INRA wheat Core Collection","0.87471422","","Balfourier","false","0","WW-390","INRA SMTA signed by IPK admin","","28","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.51118244","MEIRA","","false","na"
"573","2","7048",,"","","","2.1255144","","","4.4E-6","landrace","","0.47047435","0.95256917","","Europe","Spain","29","7","BAD","","","","I","Winter",,"false","",,,"","","","Triticum_aestivum.WW-423","235.2173913","","29","0","","","3","",,"INRA wheat Core Collection","0.87494284","","Balfourier","false","0","WW-423","INRA SMTA signed by IPK admin","","24","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.53580271","TRIGO DE MONTE","","false","na"
"572","2","5552",,"","","","2.12757202","","","4.01E-6","landrace","","0.47001934","0.94372294","","Europe","Spain","28","7","BAD","","","","I","Winter",,"false","",,,"","","","Triticum_aestivum.WW-408","237.45454545","","28","0","","","3","",,"INRA wheat Core Collection","0.87471422","","Balfourier","false","0","WW-408","INRA SMTA signed by IPK admin","","26","true","true","true","Triticum_aestivum","T. aestivum α","Triticum","aestivum","","0.54089874","P. DE BROLLON","","false","na"
