id,name,taxon,X__glayCluster,TaxonCluster,code
WW-001,Triticum_aestivum.WW-001,Triticum_aestivum,3,T. aestivum γ,FRA
WW-002,Triticum_aestivum.WW-002,Triticum_aestivum,3,T. aestivum γ,FRA
WW-003,Triticum_aestivum.WW-003,Triticum_aestivum,3,T. aestivum γ,FRA
WW-004,Triticum_aestivum.WW-004,Triticum_aestivum,3,T. aestivum γ,FRA
WW-005,Triticum_aestivum.WW-005,Triticum_aestivum,3,T. aestivum γ,FRA
WW-006,Triticum_aestivum.WW-006,Triticum_aestivum,3,T. aestivum γ,FRA
WW-007,Triticum_aestivum.WW-007,Triticum_aestivum,3,T. aestivum γ,FRA
WW-008,Triticum_aestivum.WW-008,Triticum_aestivum,3,T. aestivum γ,FRA
WW-009,Triticum_aestivum.WW-009,Triticum_aestivum,3,T. aestivum γ,DEU
WW-010,Triticum_aestivum.WW-010,Triticum_aestivum,3,T. aestivum γ,DEU
WW-011,Triticum_aestivum.WW-011,Triticum_aestivum,3,T. aestivum γ,DEU
WW-012,Triticum_aestivum.WW-012,Triticum_aestivum,3,T. aestivum γ,DEU
WW-013,Triticum_aestivum.WW-013,Triticum_aestivum,3,T. aestivum γ,DEU
WW-014,Triticum_aestivum.WW-014,Triticum_aestivum,3,T. aestivum γ,DEU
WW-015,Triticum_aestivum.WW-015,Triticum_aestivum,3,T. aestivum γ,DEU
WW-016,Triticum_aestivum.WW-016,Triticum_aestivum,2,T. aestivum α,DEU
WW-017,Triticum_aestivum.WW-017,Triticum_aestivum,2,T. aestivum α,DEU
WW-018,Triticum_aestivum.WW-018,Triticum_aestivum,2,T. aestivum α,DEU
WW-019,Triticum_aestivum.WW-019,Triticum_aestivum,3,T. aestivum γ,ITA
WW-020,Triticum_aestivum.WW-020,Triticum_aestivum,3,T. aestivum γ,ITA
WW-021,Triticum_aestivum.WW-021,Triticum_aestivum,3,T. aestivum γ,ITA
WW-022,Triticum_aestivum.WW-022,Triticum_aestivum,3,T. aestivum γ,ITA
WW-023,Triticum_aestivum.WW-023,Triticum_aestivum,7,T. aestivum β,HUN
WW-024,Triticum_aestivum.WW-024,Triticum_aestivum,2,T. aestivum α,HUN
WW-025,Triticum_aestivum.WW-025,Triticum_aestivum,7,T. aestivum β,HUN
WW-026,Triticum_aestivum.WW-026,Triticum_aestivum,7,T. aestivum β,HUN
WW-027,Triticum_aestivum.WW-027,Triticum_aestivum,7,T. aestivum β,HUN
WW-028,Triticum_aestivum.WW-028,Triticum_aestivum,7,T. aestivum β,HUN
WW-029,Triticum_aestivum.WW-029,Triticum_aestivum,2,T. aestivum α,JPN
WW-030,Triticum_aestivum.WW-030,Triticum_aestivum,3,T. aestivum γ,GBR
WW-031,Triticum_aestivum.WW-031,Triticum_aestivum,3,T. aestivum γ,GBR
WW-032,Triticum_aestivum.WW-032,Triticum_aestivum,3,T. aestivum γ,GBR
WW-033,Triticum_aestivum.WW-033,Triticum_aestivum,3,T. aestivum γ,GBR
WW-034,Triticum_aestivum.WW-034,Triticum_aestivum,2,T. aestivum α,GBR
WW-035,Triticum_aestivum.WW-035,Triticum_aestivum,2,T. aestivum α,GBR
WW-036,Triticum_aestivum.WW-036,Triticum_aestivum,3,T. aestivum γ,DEU
WW-037,Triticum_aestivum.WW-037,Triticum_aestivum,3,T. aestivum γ,FRA
WW-038,Triticum_aestivum.WW-038,Triticum_aestivum,3,T. aestivum γ,DEU
WW-039,Triticum_aestivum.WW-039,Triticum_aestivum,3,T. aestivum γ,CZE
WW-040,Triticum_aestivum.WW-040,Triticum_aestivum,3,T. aestivum γ,POL
WW-041,Triticum_aestivum.WW-041,Triticum_aestivum,3,T. aestivum γ,FRA
WW-042,Triticum_aestivum.WW-042,Triticum_aestivum,3,T. aestivum γ,DEU
WW-043,Triticum_aestivum.WW-043,Triticum_aestivum,3,T. aestivum γ,DEU
WW-044,Triticum_aestivum.WW-044,Triticum_aestivum,3,T. aestivum γ,DEU
WW-045,Triticum_aestivum.WW-045,Triticum_aestivum,3,T. aestivum γ,DEU
WW-046,Triticum_aestivum.WW-046,Triticum_aestivum,3,T. aestivum γ,FRA
WW-047,Triticum_aestivum.WW-047,Triticum_aestivum,3,T. aestivum γ,FRA
WW-048,Triticum_aestivum.WW-048,Triticum_aestivum,3,T. aestivum γ,GBR
WW-049,Triticum_aestivum.WW-049,Triticum_aestivum,3,T. aestivum γ,GBR
WW-050,Triticum_aestivum.WW-050,Triticum_aestivum,3,T. aestivum γ,GBR
WW-052,Triticum_aestivum.WW-052,Triticum_aestivum,3,T. aestivum γ,GBR
WW-053,Triticum_aestivum.WW-053,Triticum_aestivum,3,T. aestivum γ,GBR
WW-055,Triticum_aestivum.WW-055,Triticum_aestivum,3,T. aestivum γ,GBR
WW-056,Triticum_aestivum.WW-056,Triticum_aestivum,3,T. aestivum γ,GBR
WW-057,Triticum_aestivum.WW-057,Triticum_aestivum,3,T. aestivum γ,FRA
WW-058,Triticum_aestivum.WW-058,Triticum_aestivum,3,T. aestivum γ,FRA
WW-059,Triticum_aestivum.WW-059,Triticum_aestivum,3,T. aestivum γ,GBR
WW-060,Triticum_aestivum.WW-060,Triticum_aestivum,3,T. aestivum γ,DEU
WW-061,Triticum_aestivum.WW-061,Triticum_aestivum,3,T. aestivum γ,FRA
WW-062,Triticum_aestivum.WW-062,Triticum_aestivum,3,T. aestivum γ,FRA
WW-063,Triticum_aestivum.WW-063,Triticum_aestivum,3,T. aestivum γ,DEU
WW-064,Triticum_aestivum.WW-064,Triticum_aestivum,2,T. aestivum α,RUS
WW-065,Triticum_aestivum.WW-065,Triticum_aestivum,2,T. aestivum α,DEU
WW-066,Triticum_durum_x_Aegilops_tauschii.WW-066,Triticum_durum_x_Aegilops_tauschii,2,Triticum_durum_x_Aegilops_tauschii,NA
WW-067,Triticum_aestivum.WW-067,Triticum_aestivum,2,T. aestivum α,ITA
WW-068,Triticum_aestivum.WW-068,Triticum_aestivum,2,T. aestivum α,FRA
WW-069,Triticum_aestivum.WW-069,Triticum_aestivum,2,T. aestivum α,FRA
WW-070,Triticum_aestivum.WW-070,Triticum_aestivum,3,T. aestivum γ,FRA
WW-071,Triticum_aestivum.WW-071,Triticum_aestivum,3,T. aestivum γ,FRA
WW-072,Triticum_aestivum.WW-072,Triticum_aestivum,2,T. aestivum α,BGR
WW-073,Triticum_aestivum.WW-073,Triticum_aestivum,2,T. aestivum α,ITA
WW-074,Triticum_aestivum.WW-074,Triticum_aestivum,2,T. aestivum α,JPN
WW-075,Triticum_aestivum.WW-075,Triticum_aestivum,2,T. aestivum α,KOR
WW-076,Triticum_aestivum.WW-076,Triticum_aestivum,2,T. aestivum α,PRK
WW-077,Triticum_aestivum.WW-077,Triticum_aestivum,2,T. aestivum α,SRB
WW-078,Triticum_aestivum.WW-078,Triticum_aestivum,2,T. aestivum α,ALB
WW-079,Triticum_aestivum.WW-079,Triticum_aestivum,2,T. aestivum α,JPN
WW-080,Triticum_aestivum.WW-080,Triticum_aestivum,7,T. aestivum β,USA
WW-081,Triticum_aestivum.WW-081,Triticum_aestivum,3,T. aestivum γ,CHN
WW-082,Triticum_aestivum.WW-082,Triticum_aestivum,2,T. aestivum α,SRB
WW-083,Triticum_aestivum.WW-083,Triticum_aestivum,2,T. aestivum α,JPN
WW-084,Triticum_aestivum.WW-084,Triticum_aestivum,2,T. aestivum α,CHN
WW-085,Triticum_aestivum.WW-085,Triticum_aestivum,2,T. aestivum α,EGY
WW-086,Triticum_aestivum.WW-086,Triticum_aestivum,2,T. aestivum α,GBR
WW-087,Triticum_aestivum.WW-087,Triticum_aestivum,2,T. aestivum α,HUN
WW-088,Triticum_aestivum.WW-088,Triticum_aestivum,2,T. aestivum α,HUN
WW-089,Triticum_aestivum.WW-089,Triticum_aestivum,2,T. aestivum α,HUN
WW-090,Triticum_aestivum.WW-090,Triticum_aestivum,2,T. aestivum α,ROU
WW-091,Triticum_aestivum.WW-091,Triticum_aestivum,2,T. aestivum α,USA
WW-092,Triticum_aestivum.WW-092,Triticum_aestivum,2,T. aestivum α,USA
WW-093,Triticum_aestivum.WW-093,Triticum_aestivum,3,T. aestivum γ,USA
WW-094,Triticum_aestivum.WW-094,Triticum_aestivum,3,T. aestivum γ,DEU
WW-095,Triticum_aestivum.WW-095,Triticum_aestivum,3,T. aestivum γ,CHN
WW-096,Triticum_aestivum.WW-096,Triticum_aestivum,2,T. aestivum α,UKR
WW-097,Triticum_aestivum.WW-097,Triticum_aestivum,2,T. aestivum α,USA
WW-098,Triticum_aestivum.WW-098,Triticum_aestivum,3,T. aestivum γ,DEU
WW-099,Triticum_aestivum.WW-099,Triticum_aestivum,3,T. aestivum γ,DEU
WW-100,Triticum_aestivum.WW-100,Triticum_aestivum,3,T. aestivum γ,DEU
WW-101,Triticum_aestivum.WW-101,Triticum_aestivum,3,T. aestivum γ,DEU
WW-102,Triticum_aestivum.WW-102,Triticum_aestivum,3,T. aestivum γ,DEU
WW-103,Triticum_aestivum.WW-103,Triticum_aestivum,3,T. aestivum γ,NLD
WW-104,Triticum_aestivum.WW-104,Triticum_aestivum,2,T. aestivum α,PAK
WW-105,Triticum_aestivum.WW-105,Triticum_aestivum,3,T. aestivum γ,NA
WW-106,Triticum_aestivum.WW-106,Triticum_aestivum,3,T. aestivum γ,DEU
WW-107,Triticum_aestivum.WW-107,Triticum_aestivum,7,T. aestivum β,NA
WW-108,Triticum_aestivum.WW-108,Triticum_aestivum,3,T. aestivum γ,USA
WW-109,Triticum_aestivum.WW-109,Triticum_aestivum,2,T. aestivum α,PAK
WW-110,Triticum_aestivum.WW-110,Triticum_aestivum,3,T. aestivum γ,SWE
WW-111,Triticum_aestivum.WW-111,Triticum_aestivum,2,T. aestivum α,ALB
WW-112,Triticum_aestivum.WW-112,Triticum_aestivum,3,T. aestivum γ,POL
WW-113,Triticum_aestivum.WW-113,Triticum_aestivum,3,T. aestivum γ,ZAF
WW-114,Triticum_aestivum.WW-114,Triticum_aestivum,2,T. aestivum α,GRC
WW-115,Triticum_aestivum.WW-115,Triticum_aestivum,3,T. aestivum γ,DEU
WW-116,Triticum_aestivum.WW-116,Triticum_aestivum,7,T. aestivum β,DEU
WW-117,Triticum_aestivum.WW-117,Triticum_aestivum,3,T. aestivum γ,DEU
WW-118,Triticum_aestivum.WW-118,Triticum_aestivum,3,T. aestivum γ,DEU
WW-119,Triticum_aestivum.WW-119,Triticum_aestivum,7,T. aestivum β,RUS
WW-120,Triticum_aestivum.WW-120,Triticum_aestivum,7,T. aestivum β,SWE
WW-121,Triticum_aestivum.WW-121,Triticum_aestivum,7,T. aestivum β,DEU
WW-122,Triticum_aestivum.WW-122,Triticum_aestivum,3,T. aestivum γ,DEU
WW-123,Triticum_aestivum.WW-123,Triticum_aestivum,3,T. aestivum γ,LVA
WW-124,Triticum_aestivum.WW-124,Triticum_aestivum,7,T. aestivum β,SWE
WW-125,Triticum_aestivum.WW-125,Triticum_aestivum,3,T. aestivum γ,PRT
WW-127,Triticum_aestivum.WW-127,Triticum_aestivum,2,T. aestivum α,PRT
WW-131,Triticum_aestivum.WW-131,Triticum_aestivum,2,T. aestivum α,PRT
WW-132,Triticum_aestivum.WW-132,Triticum_aestivum,2,T. aestivum α,PRT
WW-133,Triticum_aestivum.WW-133,Triticum_aestivum,7,T. aestivum β,PRT
WW-134,Triticum_aestivum.WW-134,Triticum_aestivum,2,T. aestivum α,PRT
WW-135,Triticum_aestivum.WW-135,Triticum_aestivum,2,T. aestivum α,PRT
WW-136,Triticum_aestivum.WW-136,Triticum_aestivum,2,T. aestivum α,PRT
WW-137,Triticum_aestivum.WW-137,Triticum_aestivum,2,T. aestivum α,PRT
WW-138,Triticum_aestivum.WW-138,Triticum_aestivum,2,T. aestivum α,PRT
WW-140,Triticum_aestivum.WW-140,Triticum_aestivum,2,T. aestivum α,PRT
WW-143,Triticum_aestivum.WW-143,Triticum_aestivum,7,T. aestivum β,PRT
WW-145,Triticum_aestivum.WW-145,Triticum_aestivum,3,T. aestivum γ,PRT
WW-146,Triticum_aestivum.WW-146,Triticum_aestivum,2,T. aestivum α,PRT
WW-147,Triticum_aestivum.WW-147,Triticum_aestivum,2,T. aestivum α,PRT
WW-148,Triticum_aestivum.WW-148,Triticum_aestivum,3,T. aestivum γ,DEU
WW-149,Triticum_aestivum.WW-149,Triticum_aestivum,3,T. aestivum γ,DEU
WW-150,Triticum_aestivum.WW-150,Triticum_aestivum,3,T. aestivum γ,DEU
WW-151,Triticum_aestivum.WW-151,Triticum_aestivum,3,T. aestivum γ,FRA
WW-152,Triticum_aestivum.WW-152,Triticum_aestivum,3,T. aestivum γ,FRA
WW-153,Triticum_aestivum.WW-153,Triticum_aestivum,3,T. aestivum γ,DNK
WW-154,Triticum_aestivum.WW-154,Triticum_aestivum,3,T. aestivum γ,FRA
WW-155,Triticum_aestivum.WW-155,Triticum_aestivum,3,T. aestivum γ,GBR
WW-156,Triticum_aestivum.WW-156,Triticum_aestivum,3,T. aestivum γ,GBR
WW-157,Triticum_aestivum.WW-157,Triticum_aestivum,3,T. aestivum γ,FRA
WW-158,Triticum_aestivum.WW-158,Triticum_aestivum,3,T. aestivum γ,DEU
WW-159,Triticum_aestivum.WW-159,Triticum_aestivum,2,T. aestivum α,NA
WW-160,Triticum_aestivum.WW-160,Triticum_aestivum,3,T. aestivum γ,DEU
WW-161,Triticum_aestivum.WW-161,Triticum_aestivum,3,T. aestivum γ,FRA
WW-162,Triticum_aestivum.WW-162,Triticum_aestivum,3,T. aestivum γ,FRA
WW-163,Triticum_aestivum.WW-163,Triticum_aestivum,3,T. aestivum γ,DNK
WW-164,Triticum_aestivum.WW-164,Triticum_aestivum,3,T. aestivum γ,FRA
WW-165,Triticum_aestivum.WW-165,Triticum_aestivum,3,T. aestivum γ,DNK
WW-166,Triticum_aestivum.WW-166,Triticum_aestivum,3,T. aestivum γ,DEU
WW-167,Triticum_aestivum.WW-167,Triticum_aestivum,3,T. aestivum γ,FRA
WW-168,Triticum_aestivum.WW-168,Triticum_aestivum,3,T. aestivum γ,DEU
WW-169,Triticum_aestivum.WW-169,Triticum_aestivum,3,T. aestivum γ,DEU
WW-170,Triticum_aestivum.WW-170,Triticum_aestivum,2,T. aestivum α,NA
WW-171,Triticum_durum_x_Aegilops_tauschii.WW-171,Triticum_durum_x_Aegilops_tauschii,2,Triticum_durum_x_Aegilops_tauschii,NA
WW-172,Triticum_aestivum.WW-172,Triticum_aestivum,2,T. aestivum α,ISR
WW-173,Triticum_aestivum.WW-173,Triticum_aestivum,2,T. aestivum α,ISR
WW-174,Triticum_aestivum.WW-174,Triticum_aestivum,2,T. aestivum α,ISR
WW-175,Triticum_aestivum.WW-175,Triticum_aestivum,2,T. aestivum α,ISR
WW-176,Triticum_aestivum.WW-176,Triticum_aestivum,2,T. aestivum α,ISR
WW-177,Triticum_aestivum.WW-177,Triticum_aestivum,2,T. aestivum α,ISR
WW-178,Triticum_durum.WW-178,Triticum_durum,4,Triticum_durum,USA
WW-179,Triticum_dicoccoides.WW-179,Triticum_dicoccoides,4,Triticum_dicoccoides,ISR
WW-180,Triticum_turgidum.WW-180,Triticum_turgidum,4,Triticum_turgidum,ISR
WW-181,Triticum_turgidum.WW-181,Triticum_turgidum,4,Triticum_turgidum,ISR
WW-182,Triticum_turgidum.WW-182,Triticum_turgidum,4,Triticum_turgidum,ISR
WW-183,Triticum_aestivum.WW-183,Triticum_aestivum,2,T. aestivum α,TUR
WW-184,Triticum_aestivum.WW-184,Triticum_aestivum,2,T. aestivum α,TUR
WW-185,Triticum_aestivum.WW-185,Triticum_aestivum,2,T. aestivum α,TUR
WW-186,Triticum_aestivum.WW-186,Triticum_aestivum,2,T. aestivum α,TUR
WW-187,Triticum_aestivum.WW-187,Triticum_aestivum,2,T. aestivum α,TUR
WW-188,Triticum_aestivum.WW-188,Triticum_aestivum,2,T. aestivum α,TUR
WW-189,Triticum_aestivum.WW-189,Triticum_aestivum,7,T. aestivum β,TUR
WW-190,Triticum_aestivum.WW-190,Triticum_aestivum,7,T. aestivum β,TUR
WW-191,Triticum_aestivum.WW-191,Triticum_aestivum,2,T. aestivum α,TUR
WW-192,Triticum_aestivum.WW-192,Triticum_aestivum,2,T. aestivum α,TUR
WW-194,Triticum_aestivum.WW-194,Triticum_aestivum,2,T. aestivum α,TUR
WW-195,Triticum_aestivum.WW-195,Triticum_aestivum,2,T. aestivum α,TUR
WW-196,Triticum_aestivum.WW-196,Triticum_aestivum,2,T. aestivum α,TUR
WW-197,Triticum_aestivum.WW-197,Triticum_aestivum,2,T. aestivum α,TUR
WW-200,Triticum_durum.WW-200,Triticum_durum,4,Triticum_durum,TUR
WW-201,Triticum_durum.WW-201,Triticum_durum,4,Triticum_durum,TUR
WW-202,Triticum_durum.WW-202,Triticum_durum,4,Triticum_durum,TUR
WW-203,Triticum_durum.WW-203,Triticum_durum,4,Triticum_durum,TUR
WW-204,Triticum_durum.WW-204,Triticum_durum,4,Triticum_durum,TUR
WW-205,Triticum_durum.WW-205,Triticum_durum,4,Triticum_durum,TUR
WW-207,Triticum_aestivum.WW-207,Triticum_aestivum,2,T. aestivum α,AFG
WW-208,Triticum_aestivum.WW-208,Triticum_aestivum,2,T. aestivum α,AFG
WW-209,Triticum_aestivum.WW-209,Triticum_aestivum,2,T. aestivum α,AFG
WW-210,Triticum_aestivum.WW-210,Triticum_aestivum,2,T. aestivum α,AZE
WW-211,Triticum_aestivum.WW-211,Triticum_aestivum,2,T. aestivum α,ARM
WW-212,Triticum_aestivum.WW-212,Triticum_aestivum,2,T. aestivum α,TKM
WW-213,Triticum_aestivum.WW-213,Triticum_aestivum,2,T. aestivum α,RUS
WW-214,Triticum_aestivum.WW-214,Triticum_aestivum,2,T. aestivum α,AZE
WW-215,Triticum_aestivum.WW-215,Triticum_aestivum,2,T. aestivum α,PAK
WW-216,Triticum_aestivum.WW-216,Triticum_aestivum,2,T. aestivum α,RUS
