Triticum_monococcum	#6666FF
Triticum_araraticum	#99CCFF
Triticum_timopheevii	#000099
Aegilops_speltoides	#FF6666
Triticum_aestivum_α	#ffd700
Triticum_aestivum_β	#b22222
Triticum_aestivum_γ	#104e8b
Triticum_boeoticum	#3399FF
Triticum_durum	#99FFCC
Triticum_zhukovskyi	#990099
Triticum_sphaerococcum	#999900
Triticum_durum_x_Aegilops_tauschii	#00CCCC
Triticum_spelta	#996600
Triticum_urartu	#009999
Aegilops_tauschii	#FFCC00
Triticum_dicoccon	#CCFF99
Triticum_turgidum	#006600
Triticum_dicoccoides	#33CC00
