id	code	continent	Country.of.origin
WW-001	FRA	Europe	France
WW-002	FRA	Europe	France
WW-003	FRA	Europe	France
WW-004	FRA	Europe	France
WW-005	FRA	Europe	France
WW-006	FRA	Europe	France
WW-007	FRA	Europe	France
WW-008	FRA	Europe	France
WW-009	DEU	Europe	Germany
WW-010	DEU	Europe	Germany
WW-011	DEU	Europe	Germany
WW-012	DEU	Europe	Germany
WW-013	DEU	Europe	Germany
WW-014	DEU	Europe	Germany
WW-015	DEU	Europe	Germany
WW-016	DEU	Europe	Germany
WW-017	DEU	Europe	Germany
WW-018	DEU	Europe	Germany
WW-019	ITA	Europe	Italy
WW-020	ITA	Europe	Italy
WW-021	ITA	Europe	Italy
WW-022	ITA	Europe	Italy
WW-023	HUN	Europe	Hungary
WW-024	HUN	Europe	Hungary
WW-025	HUN	Europe	Hungary
WW-026	HUN	Europe	Hungary
WW-027	HUN	Europe	Hungary
WW-028	HUN	Europe	Hungary
WW-029	JPN	Asia	Japan
WW-030	GBR	Europe	United Kingdom
WW-031	GBR	Europe	United Kingdom
WW-032	GBR	Europe	United Kingdom
WW-033	GBR	Europe	United Kingdom
WW-034	GBR	Europe	United Kingdom
WW-035	GBR	Europe	United Kingdom
WW-036	DEU	Europe	DE/DK
WW-037	FRA	Europe	France
WW-038	DEU	Europe	Germany
WW-039	CZE	Europe	DE/CZ/PL
WW-040	POL	Europe	F/PL
WW-041	FRA	Europe	France
WW-042	DEU	Europe	Germany
WW-043	DEU	Europe	DE/F/DK
WW-044	DEU	Europe	DE/F/DK
WW-045	DEU	Europe	Germany
WW-046	FRA	Europe	France
WW-047	FRA	Europe	France
WW-048	GBR	Europe	United Kingdom
WW-049	GBR	Europe	United Kingdom
WW-050	GBR	Europe	United Kingdom
WW-052	GBR	Europe	United Kingdom
WW-053	GBR	Europe	United Kingdom
WW-055	GBR	Europe	United Kingdom
WW-056	GBR	Europe	United Kingdom
WW-057	FRA	Europe	France
WW-058	FRA	Europe	France
WW-059	GBR	Europe	United Kingdom
WW-060	DEU	Europe	Germany
WW-061	FRA	Europe	France
WW-062	FRA	Europe	France
WW-063	DEU	Europe	Germany
WW-064	RUS	Asia	Russian Federation
WW-065	DEU	Europe	Germany
WW-066		na	na
WW-067	ITA	Europe	Italy
WW-068	FRA	Europe	France
WW-069	FRA	Europe	France
WW-070	FRA	Europe	France
WW-071	FRA	Europe	France
