Whealbi serial number	Taxonomy	Taxonomy	Taxonomy	Variety/Genotype	Acession number	Genome	Country of origin	Collection site	Altitude	Latitude	Longitude	Growth habit	Biological status	Year listed / recommended; acquisition year; released	Pedigree	Population	Seed source	Source genebank	Breeder
WW-252	Triticum	boeoticum Boiss.	subsp. thaoudar (Reut. ex Hausskn. ) Grossh.3		ID 758 EP079-EP086	Ab 	Turkey	Diyarbakir, 52.5 km west of Diyarbakir in the Karakadaj					wild			wheat wild relatives and neglected	Kilian		
WW-253	Triticum	monococcum L.	T. monococcum L.		ID 05 EP001-1	Ab 	Turkey	Turkey, Samsun, 20 km west								wheat wild relatives and neglected	Kilian		
WW-263	Triticum	boeoticum Boiss.	subsp. thaoudar (Reut. ex Hausskn. ) Grossh.3		ID 379 EP046	Ab 	Lebanon	El Beqaa								wheat wild relatives and neglected	Kilian		
WW-254	Triticum	monococcum L.	T. monococcum L.		ID 492 EP051-2	Am	Turkey	Turkey, Bursa, field, 60 km SW of Bursa, 								wheat wild relatives and neglected	Kilian		
WW-255	Triticum	monococcum L.	T. monococcum L.		ID 1331 EP032-3	Am	Italy	Italy, Latium								wheat wild relatives and neglected	Kilian		
WW-249	Triticum	urartu Thum. ex Gandil.			ID 388 EP047-1	Au	Lebanon	Lebanon, Talia, El-Beqaa valley					wild			wheat wild relatives and neglected	Kilian		
WW-250	Triticum	urartu Thum. ex Gandil.			ID 393 EP048-1	Au	Iran	Iran, Bakhtaran, 6 km S Shahabad					wild			wheat wild relatives and neglected	Kilian		
WW-251	Triticum	urartu Thum. ex Gandil.			ID 1396 EP036-EP037	Au	Turkey	Turkey, Mardin					wild			wheat wild relatives and neglected	Kilian		
WW-178	Triticum	durum Desf.		Langdon		BA	USA										Saranga/Fahima		
WW-179	Triticum	dicoccoides (Koern. ex Aschers. et Graebn.) Schweinf.		G18-16		BA	Israel						wild				Saranga/Fahima		
WW-180	Triticum	turgidum		LxG #12		BA	Israel									F7 RIL (Langdon x G18-16)	Saranga/Fahima		
WW-181	Triticum	turgidum		LxG #105		BA	Israel									F7 RIL (Langdon x G18-16)	Saranga/Fahima		
WW-182	Triticum	turgidum		LxG #154		BA	Israel									F7 RIL (Langdon x G18-16)	Saranga/Fahima		
WW-198	Triticum	durum Desf.		Hevidi		BA	Turkey					Alternative/Spring	Landrace				Hakan Özkan		-
WW-200	Triticum	durum Desf.		Menceki		BA	Turkey					Alternative/Spring	Landrace				Hakan Özkan		-
WW-201	Triticum	durum Desf.		Durnadili		BA	Turkey					Alternative/Spring	Landrace				Hakan Özkan		-
WW-202	Triticum	durum Desf.		Boğacak		BA	Turkey					Alternative/Spring	Landrace				Hakan Özkan		-
WW-203	Triticum	durum Desf.		Mersiye		BA	Turkey					Alternative/Spring	Landrace				Hakan Özkan		-
WW-204	Triticum	durum Desf.		Balcalı-85		BA	Turkey					Alternative/Spring	Old variety	20/04/1985			Hakan Özkan		Cukurova Uni.
WW-205	Triticum	durum Desf.		Balcalı-2000		BA	Turkey					Alternative/Spring	Current variety	28/04/2000			Hakan Özkan		Cukurova Uni.
WW-245	Triticum	durum Desf.	subsp. durum		DIC 169	BA	France						Cultivar	1990		wheat wild relatives and neglected	Kilian		
WW-257	Triticum	dicoccoides (Koern. ex Aschers. et Graebn.) Schweinf.	subsp. judaicum Vav.		DIC 44 TP011-TP020	BA	Lebanon	Lebanon; Mt. Hermon  33° 25`N; 35° 52` E					wild			wheat wild relatives and neglected	Kilian		
WW-258	Triticum	dicoccoides (Koern. ex Aschers. et Graebn.) Schweinf.	subsp. dicoccoides		DIC 55 TP021-TP028	BA	Turkey	Turkey; 36.2km west of Diyarbakir in the Karakadag 1200m, 37° 53`N, 39° 52`E					wild			wheat wild relatives and neglected	Kilian		
WW-260	Triticum	dicoccoides (Koern. ex Aschers. et Graebn.) Schweinf.	subsp. dicoccoides 		8812	BA	Iraq	Iraq, North slope of Jabal Sinjar N of Kursi					wild			wheat wild relatives and neglected	Kilian		
WW-261	Triticum	dicoccoides (Koern. ex Aschers. et Graebn.) Schweinf.	subsp. dicoccoides 		8943	BA	Iran	Iran, 58.8 km N from Kermanshah to Ravansar					wild			wheat wild relatives and neglected	Kilian		
WW-262	Triticum	durum Desf.			DIC 193	BA	Italy						Cultivar	1928		wheat wild relatives and neglected	Kilian		
WW-264	Triticum	dicoccon Schrank	subsp. asiaticum Vav.		TRI 5860	BA	Iran	Gindergache, 10 km von Mahabadnach Tabriz								wheat wild relatives and neglected	Kilian		
